sampledate,EpiTemp,HypoTemp,Strat,Therm,EpiV,HypV,Discharge,PLoad,ObsPepi,MM_Pepi
1995-05-09,8.56402663573911,8.56398227619142,False,1.0,56777379.32032001,447462223.87968004,1290796.7327999999,542743.3282468981,0.086,0.086
1995-05-23,12.3597132232473,12.1248183461094,False,1.0,56777379.32032001,447462223.87968004,914623.92,378740.21721066145,0.081,0.08857958267510084
1995-06-06,16.9405566157589,13.4271733391764,True,10.05876262683006,321861181.118592,182378422.08140805,965757.9456,417196.1161216771,0.074,0.08536121232516948
1995-06-21,24.3028467545414,13.4286127247946,True,9.749083302402006,311887321.7672961,192352281.432704,507135.94560000004,197016.38079495556,0.037,0.06068284179785304
1995-07-06,23.2270143562262,13.4301079692215,True,9.41257099704725,304338854.907392,199900748.29260802,273875.1264,110060.51557607713,0.042,0.03541439136996622
1995-07-18,27.9794305300985,13.4316784664166,True,7.302727995863627,249528010.03955206,254711593.16044798,334510.8192,113119.98622626241,0.029,0.02832331127476376
1995-08-02,27.3632465562986,13.432616647005,True,6.994930472850628,241480345.9724801,262759257.22751996,284200.01279999997,88462.97403613341,0.029,0.016957349106077466
1995-08-14,28.310799201459,13.4332953561288,True,6.388939429039705,224870693.44307202,279368909.756928,176781.2256,47641.397004547194,0.024,0.012739243436366454
1995-08-30,26.8474062716676,13.4346410881019,True,6.966495053529866,241480345.9724801,262759257.22751996,265220.5248,71090.34057530208,0.023,0.01875636177774124
1995-09-11,22.3762149597548,13.4363177718696,True,8.13427240476437,270902726.81920004,233336876.3808,147470.112,31404.044738747525,0.032,0.03396236791945315
1995-09-25,16.9294998840389,13.447103579927,True,10.35646607364822,329137358.592768,175102244.60723203,284854.2336,53221.89570994943,0.059,0.05784393222988055
1995-10-11,15.6990054054142,13.5091095669276,True,12.81538965865781,384260832.01459205,119978771.18540798,294378.88320000004,60326.728341200636,0.109,0.06852816653809507
1995-10-25,12.4759784763329,12.4759784763329,False,1.0,56777379.32032001,447462223.87968004,438946.81919999997,65491.239217331524,0.157,0.11130821554261615
1995-11-10,7.73128035435343,7.73128035435343,False,1.0,56777379.32032001,447462223.87968004,477183.48480000003,73740.53266608095,0.144,0.10823439365011048
1995-12-06,1.64698175389609,1.64698175389609,False,1.0,56777379.32032001,447462223.87968004,558087.9264,67609.54712882305,0.124,0.10454101259967655
1996-02-06,1.88639171870452,2.01403174388388,False,1.0,56777379.32032001,447462223.87968004,489232.91520000005,68688.74856533186,0.1095,0.10138102613129502
1996-04-09,2.93611774916845,2.93611774916845,False,1.0,56777379.32032001,447462223.87968004,466008.5952,122713.38864974592,0.125,0.10854330462373048
1996-04-17,3.84582308519745,3.84582308519745,False,1.0,56777379.32032001,447462223.87968004,451458.3168,130086.70410476449,0.123,0.10785194623345293
1996-05-01,6.6027935067553,6.6027935067553,False,1.0,56777379.32032001,447462223.87968004,417290.9184,157436.4689381405,0.108,0.106902010410637
1996-05-14,9.43428351087308,8.60179680028144,False,1.0,56777379.32032001,447462223.87968004,738589.104,302529.49432098045,0.099,0.10664338678081833
1996-05-28,12.4551581402107,11.2917508381876,True,11.407271444388645,352947552.65587205,151292050.544128,381825.18720000004,166239.27238935744,0.109,0.101863081707746
1996-06-10,16.4025610878022,11.383006289098,True,5.945202383259534,210933510.810624,293306092.38937604,1439086.4352,709807.6808825615,0.104,0.09450670673068357
1996-06-26,23.0574531791494,11.3946099959443,True,3.839025364302933,149244837.755136,354994765.44486403,2037721.6223999998,933410.3044830018,0.088,0.08490188065925641
1996-07-08,25.0719731498256,11.4075058351859,True,4.95483525749866,185156782.29504,319082820.90496004,1196524.9152,502113.8662311282,0.065,0.07733527142820742
1996-07-22,24.1943298607464,11.4238532486536,True,5.772355362941678,208069429.86444807,296170173.335552,1146359.1744000001,467571.8246589965,0.054,0.0643594150646736
1996-08-05,24.2622459604782,11.435408509556,True,5.9042730491584905,210933510.810624,293306092.38937604,764210.1599999999,262973.156002416,0.035,0.04524718843558276
1996-08-19,24.6887200577365,11.4491584204577,True,5.975507227231654,213797591.75680006,290442011.4432,517486.1472,144590.75949232513,0.024,0.03395136185815064
1996-09-05,24.4071248477296,11.4602971529923,True,6.081824805663768,216565867.17836803,287673736.021632,82484.0064,16807.848360462718,0.019,0.023138458133048292
1996-09-16,19.8397037620626,11.4785572812892,True,7.411068194219062,252210564.72857606,252029038.47142398,51548.05439999999,8731.1737280448,0.032,0.04645256571547267
1996-10-16,13.1232991973343,11.693001310386,True,15.480228144136394,435763865.0854401,68475738.11455996,164499.72480000003,22722.82671288672,0.104,0.10896393121085278
1996-11-08,8.98740361788764,8.97405823022065,False,1.0,56777379.32032001,447462223.87968004,212090.2272,30989.86828541568,0.135,0.12050613925193057
1996-11-25,4.36009417503312,4.36009417503312,False,1.0,56777379.32032001,447462223.87968004,149336.352,19997.64739034784,0.134,0.11788077929888251
1997-01-14,1.30265824010174,1.30265824010174,False,1.0,56777379.32032001,447462223.87968004,400311.072,50178.48539674752,0.1295,0.11095358805064083
