datetime,thermo.depth,EpiTemp,HypoTemp
1995-05-09,NaN,8.56402663573911,8.56398227619142
1995-05-10,NaN,8.80308635163717,8.68876034055666
1995-05-11,NaN,8.98495826877842,8.96078943816406
1995-05-12,NaN,9.23487908632406,8.99607169807636
1995-05-13,NaN,9.71497609115841,9.28447628876062
1995-05-14,NaN,9.81394412304997,9.69108037472456
1995-05-15,NaN,10.1428843399266,10.0405838561416
1995-05-16,NaN,10.6241625235133,10.2915411446566
1995-05-17,NaN,11.0071358760712,10.7019940494359
1995-05-18,NaN,11.3016107716428,11.109142790593
1995-05-19,NaN,11.6103018818647,11.3218822012375
1995-05-20,NaN,11.9889490286821,11.4672407035932
1995-05-21,NaN,12.1048363019617,11.72481557157
1995-05-22,NaN,12.1427711220859,11.9237264519462
1995-05-23,NaN,12.3597132232473,12.1248183461094
1995-05-24,NaN,12.3837219033548,12.3197934444752
1995-05-25,NaN,12.5912070189237,12.3606300168603
1995-05-26,NaN,13.0100015539259,12.5000535816787
1995-05-27,NaN,13.0931754036346,12.5084997530164
1995-05-28,NaN,12.8874591840903,12.8505582905171
1995-05-29,NaN,13.0941718940714,12.9030321975102
1995-05-30,NaN,13.4250638006069,13.1718042667562
1995-05-31,NaN,13.7476441593584,13.4253851276267
1995-06-01,2.1473352545575546,14.4460595289423,13.4260095486941
1995-06-02,9.681491015727495,14.6131717432926,13.4263945353851
1995-06-03,9.43916057363756,15.1640300722447,13.4266262798623
1995-06-04,9.769829304245334,15.7514844770862,13.4268240828633
1995-06-05,10.028434573945155,16.5099569802653,13.4269830841993
1995-06-06,10.058762626830061,16.9405566157589,13.4271733391764
1995-06-07,9.750204111889834,17.2658678915961,13.4273821850616
1995-06-08,9.770947131607006,18.2473229991743,13.4275256893662
1995-06-09,9.793067045198937,18.7744591285657,13.4276158545965
1995-06-10,9.803188988975888,18.5363013892137,13.4276623060971
1995-06-11,9.806912561080699,18.9962230724397,13.4277321022605
1995-06-12,9.814220387760699,19.2184817991941,13.4278401823283
1995-06-13,9.814044714269707,19.5111182214239,13.4279406385094
1995-06-14,9.807854200009128,19.9018896041583,13.4280084190924
1995-06-15,9.799481373921973,20.3675971818297,13.4280579427246
1995-06-16,9.79123220853443,21.1001754828873,13.428111642672
1995-06-17,9.786681380201196,21.2895883061283,13.4282272240271
1995-06-18,9.782624691894808,21.2751490542518,13.4283740023247
1995-06-19,9.772992103141878,22.2483941999299,13.428524655587
1995-06-20,9.76138918101038,23.3966710211769,13.4285865135702
1995-06-21,9.749083302402006,24.3028467545414,13.4286127247946
1995-06-22,9.736401791881908,25.4783577107095,13.4286302605441
1995-06-23,9.722915208211267,26.3155437131018,13.4286407973229
1995-06-24,9.709012014264253,26.8789080285553,13.4286459651477
1995-06-25,9.695057419586139,27.3684015737374,13.4286479674809
1995-06-26,9.681220246022535,27.6544531461105,13.4286470627446
1995-06-27,9.67067604700643,26.916045664095,13.4287045060433
1995-06-28,9.662686718383952,26.7711319995118,13.4288154671495
1995-06-29,9.65185273162535,26.719475189959,13.4288631369469
1995-06-30,9.641458689595927,26.6416836377121,13.4289189140092
1995-07-01,9.627004847806967,26.3341592441646,13.4290083343178
1995-07-02,9.5944455020468,25.0610729005181,13.4290784791813
1995-07-03,9.564383600716365,24.3248440567335,13.4291642407307
1995-07-04,9.531066569113655,23.7417101027173,13.4292748788996
1995-07-05,9.479852341786424,23.2900589042066,13.4295892820975
1995-07-06,9.41257099704725,23.2270143562262,13.4301079692215
1995-07-07,6.782238147024014,22.9764229685487,13.4305418857768
1995-07-08,7.3804138663414545,22.9797790321464,13.4307401613026
1995-07-09,7.390118047881178,22.4905835489575,13.4309189135178
1995-07-10,7.3990848576998705,22.6456637791709,13.4310843950096
1995-07-11,7.3872112670795484,23.2121310376985,13.4311841098425
1995-07-12,7.375002212969233,23.6605122572217,13.431220514267
1995-07-13,7.36002762601054,24.9441632700561,13.4313272709961
1995-07-14,7.34750830102979,26.7637146016487,13.4314034942403
1995-07-15,7.335077613488861,28.5051740743786,13.4314737637142
1995-07-16,7.3243215144926115,29.1902099747018,13.431504730697
1995-07-17,7.318839987725026,29.3881585843457,13.4316648835954
1995-07-18,7.302727995863627,27.9794305300985,13.4316784664166
1995-07-19,7.279357655944656,27.0045329999613,13.4316330700407
1995-07-20,7.267911595881639,26.1947385910092,13.4317498091547
1995-07-21,7.259049535739106,26.0544075373587,13.4318287243402
1995-07-22,7.244791153546827,26.1420067185225,13.431865242236
1995-07-23,7.231731112189774,26.0727561287023,13.4320314951505
1995-07-24,7.22718531345683,26.1820158995951,13.4321390349862
1995-07-25,7.2124582439316,26.4310070191264,13.4320622992531
1995-07-26,7.197688349725606,26.7646244962322,13.4320877070119
1995-07-27,7.182982560528595,27.0407490511771,13.4322068479916
1995-07-28,7.169532877060725,27.1495358178084,13.4322471962903
1995-07-29,7.141728098537174,26.9709673681317,13.4323362403208
1995-07-30,7.122498347018824,27.2294993691654,13.4324133186552
1995-07-31,7.1032032282602735,27.5922573814847,13.432415098902
1995-08-01,7.00783036865324,27.4785924346856,13.4325155713007
1995-08-02,6.994930472850628,27.3632465562986,13.432616647005
1995-08-03,6.9820035989562985,27.1133869200699,13.4326733713966
1995-08-04,6.972307729063567,26.9189445569894,13.4327564396098
1995-08-05,6.961810405077294,27.0100413009685,13.4328118648288
1995-08-06,6.9427610473341055,27.2741360802666,13.432785743802
1995-08-07,6.928472035797015,27.5455633975331,13.4328197365599
1995-08-08,6.914571332322656,27.5564165354055,13.4328754804475
